cell_id,calendar_month,feature,n_observations,mean,median,std,mad,q1,q3,iqr,min,max,zero_mad_flag
cell_00_01,2,era5_temperature_mean,3,17.6183,17.8962,1.3169,0.8779,17.0404,18.3351,1.2947,16.1846,18.7741,False
cell_00_01,2,era5_precipitation_total,3,13.6288,15.2474,11.6497,9.1371,8.2509,19.8159,11.565,1.2545,24.3845,False
cell_00_01,2,era5_wind_speed_mean,3,2.5688,2.6264,0.1164,0.0188,2.5306,2.6358,0.1052,2.4349,2.6452,False
cell_00_01,3,ndvi_mean,3,0.3863,0.3869,0.042,0.0411,0.3654,0.4075,0.042,0.344,0.428,False
cell_00_01,3,ndbi_mean,3,-0.0336,-0.0327,0.0298,0.0284,-0.0483,-0.0185,0.0298,-0.0639,-0.0043,False
cell_00_01,3,ndwi_mean,3,-0.4064,-0.3989,0.0269,0.0149,-0.4176,-0.3915,0.0261,-0.4362,-0.3841,False
cell_00_01,3,viirs_avg_rad_mean,3,25.5345,26.2527,2.0027,0.8263,24.7622,26.6659,1.9036,23.2718,27.079,False
cell_00_01,3,era5_temperature_mean,3,22.1621,22.2202,0.5605,0.4712,21.8975,22.4558,0.5583,21.5749,22.6914,False
cell_00_01,3,era5_precipitation_total,3,40.5749,39.4606,28.2214,26.5335,26.1939,54.3988,28.2049,12.9272,69.337,False
cell_00_01,3,era5_wind_speed_mean,3,2.4643,2.5074,0.3964,0.3299,2.2777,2.6724,0.3946,2.0481,2.8373,False
cell_00_01,4,ndvi_mean,3,0.3763,0.3904,0.0449,0.022,0.3582,0.4014,0.0432,0.326,0.4124,False
cell_00_01,4,ndbi_mean,3,-0.0416,-0.0611,0.0488,0.0167,-0.0694,-0.0236,0.0458,-0.0777,0.0139,False
cell_00_01,4,ndwi_mean,3,-0.3913,-0.4114,0.0362,0.0016,-0.4122,-0.3805,0.0317,-0.413,-0.3495,False
cell_00_01,4,viirs_avg_rad_mean,3,25.5439,26.3643,1.7687,0.3891,24.9392,26.5589,1.6197,23.514,26.7534,False
cell_00_01,4,era5_temperature_mean,3,28.7798,28.747,2.0298,1.9803,27.7568,29.7864,2.0296,26.7666,30.8258,False
cell_00_01,4,era5_precipitation_total,3,8.1421,2.4749,10.7878,1.1059,1.922,11.5287,9.6067,1.369,20.5825,False
cell_00_01,4,era5_wind_speed_mean,3,2.5436,2.476,0.232,0.123,2.4145,2.6389,0.2245,2.3529,2.8019,False
cell_00_01,5,ndvi_mean,3,0.3115,0.3104,0.073,0.0712,0.2748,0.3477,0.073,0.2392,0.3851,False
cell_00_01,5,ndbi_mean,3,0.0088,-0.0001,0.0644,0.0506,-0.0254,0.0386,0.064,-0.0507,0.0772,False
cell_00_01,5,ndwi_mean,3,-0.3583,-0.3678,0.0475,0.0326,-0.3841,-0.3373,0.0468,-0.4004,-0.3068,False
cell_00_01,5,viirs_avg_rad_mean,3,22.4789,22.3107,1.6105,1.3517,21.6349,23.2388,1.6039,20.959,24.1669,False
cell_00_01,5,era5_temperature_mean,3,31.8202,32.3862,2.2892,1.3871,30.8436,33.0797,2.2361,29.3011,33.7733,False
cell_00_01,5,era5_precipitation_total,3,34.7703,29.1701,36.8139,28.0927,15.1237,51.6168,36.4931,1.0774,74.0635,False
cell_00_01,5,era5_wind_speed_mean,3,2.5911,2.5082,0.2132,0.0763,2.47,2.6708,0.2008,2.4318,2.8334,False
cell_00_01,6,ndvi_mean,3,0.3254,0.3721,0.1153,0.038,0.2831,0.3911,0.108,0.1942,0.4101,False
cell_00_01,6,ndbi_mean,3,-0.0095,-0.0514,0.0865,0.0157,-0.0592,0.0193,0.0786,-0.0671,0.09,False
cell_00_01,6,ndwi_mean,3,-0.3516,-0.3757,0.0659,0.0263,-0.3889,-0.3264,0.0625,-0.402,-0.2771,False
cell_00_01,6,viirs_avg_rad_mean,3,23.1295,22.9035,1.0262,0.6683,22.5693,23.5767,1.0073,22.2352,24.2498,False
cell_00_01,6,era5_temperature_mean,3,33.1523,33.5193,1.6498,1.0684,32.4346,34.0535,1.6189,31.3499,34.5877,False
cell_00_01,6,era5_precipitation_total,3,82.5711,80.725,11.2067,8.3229,76.5635,87.6556,11.0921,72.4021,94.5862,False
