cell_id,start_date,end_date,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction
cell_06_05,2024-03-01,2024-04-01,55.91776956242623,9.717253068927603,16.0,16,16,4,1.0
cell_06_06,2024-03-01,2024-04-01,53.837275875763254,3.864982893471358,16.0,16,16,6,1.0
cell_06_07,2024-03-01,2024-04-01,52.82515682233658,2.1355089360943738,16.0,16,16,4,1.0
cell_06_08,2024-03-01,2024-04-01,49.91602229008444,5.005873709949232,16.0,16,16,4,1.0
cell_06_09,2024-03-01,2024-04-01,39.29331994412551,6.434230368827972,16.0,16,16,4,1.0
cell_06_10,2024-03-01,2024-04-01,30.89494394635622,1.8674112221733823,16.0,16,16,4,1.0
cell_06_11,2024-03-01,2024-04-01,28.284595559625064,5.391674190738086,15.694852941176471,15,16,4,1.0
cell_06_12,2024-03-01,2024-04-01,25.747689212509506,6.290327535070542,15.0,15,15,4,1.0
cell_06_13,2024-03-01,2024-04-01,26.265152475389378,5.897825746809928,15.0,15,15,4,1.0
cell_06_14,2024-03-01,2024-04-01,21.77895585814519,4.519098451931832,15.0,15,15,4,1.0
cell_06_15,2024-03-01,2024-04-01,14.589589791511425,1.6914937345438283,15.0634328358209,15,16,4,1.0
cell_06_16,2024-03-01,2024-04-01,11.662052261295605,1.5111418104294823,15.12313432835821,15,16,4,1.0
cell_06_17,2024-03-01,2024-04-01,11.086110966293898,0.5400172097943806,15.659259259259256,15,16,4,1.0
cell_06_18,2024-03-01,2024-04-01,19.703443498800922,6.053672513038575,15.33774834437086,15,16,4,1.0
cell_06_19,2024-03-01,2024-04-01,37.68536961318663,9.13632163334036,15.0,15,15,4,1.0
cell_07_00,2024-03-01,2024-04-01,47.6334705922141,1.7774494540598176,14.0,14,14,4,1.0
cell_07_01,2024-03-01,2024-04-01,50.023209215989745,1.134093882635763,14.0,14,14,4,1.0
cell_07_02,2024-03-01,2024-04-01,49.32328305315615,2.166706759531885,14.757462686567164,14,15,4,1.0
cell_07_03,2024-03-01,2024-04-01,49.613248528986624,2.6505003931018236,15.815884476534293,15,16,4,1.0
cell_07_04,2024-03-01,2024-04-01,58.75489947337979,5.066680180799422,16.0,16,16,4,1.0
cell_07_05,2024-03-01,2024-04-01,63.981719760960324,3.156780099600283,16.0,16,16,4,1.0
cell_07_06,2024-03-01,2024-04-01,60.6614560226896,4.132186069399521,15.988805970149254,15,16,6,1.0
cell_07_07,2024-03-01,2024-04-01,60.52638062434409,4.547543257916116,15.298507462686567,15,16,4,1.0
cell_07_08,2024-03-01,2024-04-01,51.68284538354767,5.55153345485135,16.0,16,16,4,1.0
cell_07_09,2024-03-01,2024-04-01,42.04974081251356,4.633479081932964,16.0,16,16,4,1.0
cell_07_10,2024-03-01,2024-04-01,37.196522630603106,3.892687538544012,15.827814569536425,15,16,4,1.0
cell_07_11,2024-03-01,2024-04-01,37.948120539620426,6.375084857809811,15.161073825503358,15,16,4,1.0
cell_07_12,2024-03-01,2024-04-01,38.7004481785333,6.2582175562377484,15.0,15,15,4,1.0
cell_07_13,2024-03-01,2024-04-01,28.6398498335881,3.6497119750208853,15.0,15,15,4,1.0
cell_07_14,2024-03-01,2024-04-01,18.77779835373608,5.595332913418787,15.0,15,15,4,1.0
cell_07_15,2024-03-01,2024-04-01,12.655149385110654,1.7265793303761667,15.0,15,15,4,1.0
cell_07_16,2024-03-01,2024-04-01,11.728428403669378,0.6580461699396408,15.0,15,15,4,1.0
cell_07_17,2024-03-01,2024-04-01,12.452152410090365,0.9462127649245855,15.066225165562914,15,16,4,1.0
cell_07_18,2024-03-01,2024-04-01,30.893679877639258,13.654999732971191,14.356877323420074,14,15,2,1.0
cell_07_19,2024-03-01,2024-04-01,49.086282978270575,6.075000762939453,14.0,14,14,2,1.0
cell_08_00,2024-03-01,2024-04-01,48.43604432291059,1.6990655262724925,13.604477611940299,13,14,4,1.0
cell_08_01,2024-03-01,2024-04-01,49.97532822267853,0.8847881623959709,13.806569343065693,13,14,4,1.0
cell_08_02,2024-03-01,2024-04-01,49.39122566324196,1.5400084970909864,14.738410596026489,14,15,4,1.0
cell_08_03,2024-03-01,2024-04-01,48.21952259297274,1.2572273887932353,15.78571428571429,15,16,4,1.0
cell_08_04,2024-03-01,2024-04-01,53.55186513644546,5.521091551870317,15.369402985074625,15,16,4,1.0
cell_08_05,2024-03-01,2024-04-01,59.70701599121094,5.103298801244895,15.246268656716417,15,16,4,1.0
cell_08_06,2024-03-01,2024-04-01,64.29082340980642,3.094750632006622,15.25,15,16,4,1.0
cell_08_07,2024-03-01,2024-04-01,64.08417797088622,5.086606736403081,15.052238805970148,15,16,4,1.0
cell_08_08,2024-03-01,2024-04-01,53.91670010884604,4.009182729319746,16.0,16,16,4,1.0
cell_08_09,2024-03-01,2024-04-01,48.53126371263271,4.24328353641865,16.0,16,16,4,1.0
cell_08_10,2024-03-01,2024-04-01,46.24735043653802,3.991787980855658,15.794776119402986,15,16,4,1.0
cell_08_11,2024-03-01,2024-04-01,43.62085870486587,2.780039886319004,15.0,15,15,4,1.0
cell_08_12,2024-03-01,2024-04-01,35.83563492903069,7.549022366239932,14.72761194029851,14,15,4,1.0
cell_08_13,2024-03-01,2024-04-01,21.42033548497442,6.6952981886720995,14.123134328358208,14,15,4,1.0
cell_08_14,2024-03-01,2024-04-01,13.590306197704912,4.200186531449037,14.112244897959187,14,15,4,1.0
cell_08_15,2024-03-01,2024-04-01,13.950794399968833,1.788104374462318,14.109271523178808,14,15,4,1.0
cell_08_16,2024-03-01,2024-04-01,23.387977624640747,7.715400279751967,14.011029411764707,14,15,3,1.0
cell_08_17,2024-03-01,2024-04-01,37.16025950208473,6.174999237060547,14.572490706319702,14,15,2,1.0
cell_08_18,2024-03-01,2024-04-01,52.71985173845823,8.230001449584961,15.0,15,15,2,1.0
cell_08_19,2024-03-01,2024-04-01,54.84052197197556,3.0,14.32342007434944,14,15,2,1.0
cell_09_00,2024-03-01,2024-04-01,55.22963326793177,4.550232919663009,13.385382059800666,13,14,4,1.0
cell_09_01,2024-03-01,2024-04-01,53.45543896185386,3.9012238121927103,13.658783783783786,13,14,4,1.0
cell_09_02,2024-03-01,2024-04-01,52.05279968033976,1.1393969647441429,14.720149253731343,14,15,4,1.0
cell_09_03,2024-03-01,2024-04-01,50.44529839416049,1.6813157412362354,15.194029850746272,15,16,4,1.0
cell_09_04,2024-03-01,2024-04-01,48.435558760344094,2.1933429020768047,15.041044776119403,15,16,4,1.0
cell_09_05,2024-03-01,2024-04-01,53.056754539261995,4.128529476013074,15.0,15,15,4,1.0
cell_09_06,2024-03-01,2024-04-01,56.08869592162678,5.106369588658689,15.0,15,15,4,1.0
cell_09_07,2024-03-01,2024-04-01,54.62079339943185,5.9347663584522525,15.029801324503312,15,16,6,1.0
cell_09_08,2024-03-01,2024-04-01,51.88863084581163,1.8103360838814149,16.0,16,16,4,1.0
cell_09_09,2024-03-01,2024-04-01,53.71459335044578,3.4387309725259194,15.881481481481481,15,16,4,1.0
cell_09_10,2024-03-01,2024-04-01,53.99298544072393,4.43936634198761,15.100746268656714,15,16,4,1.0
cell_09_11,2024-03-01,2024-04-01,43.26981258392335,6.125141846754357,14.791044776119405,14,15,4,1.0
cell_09_12,2024-03-01,2024-04-01,29.055979528787624,7.260449655994465,14.079037800687288,14,15,4,1.0
cell_09_13,2024-03-01,2024-04-01,18.794370423879055,4.7548103825500805,14.0,14,14,4,1.0
cell_09_14,2024-03-01,2024-04-01,16.723382242376154,4.033777204012755,14.0,14,14,3,1.0
cell_09_15,2024-03-01,2024-04-01,27.563717838556794,6.1399993896484375,14.0,14,14,2,1.0
cell_09_16,2024-03-01,2024-04-01,40.94955313870455,6.604999542236328,14.0,14,14,2,1.0
cell_09_17,2024-03-01,2024-04-01,58.43081679220093,9.84000015258789,14.0,14,14,2,1.0
cell_09_18,2024-03-01,2024-04-01,60.590379642367765,8.84209237544411,14.0,14,14,3,1.0
cell_09_19,2024-03-01,2024-04-01,44.98887792908319,8.22972404856307,14.0,14,14,4,1.0
cell_10_00,2024-03-01,2024-04-01,68.80925672736753,7.324591113881169,13.405204460966543,13,14,4,1.0
cell_10_01,2024-03-01,2024-04-01,60.6331724195338,7.658771845140793,13.649253731343283,13,14,4,1.0
cell_10_02,2024-03-01,2024-04-01,53.817126373746504,1.726924448372237,14.701492537313433,14,15,4,1.0
cell_10_03,2024-03-01,2024-04-01,52.997574920084936,1.1642810521953446,15.0,15,15,4,1.0
cell_10_04,2024-03-01,2024-04-01,52.84033692849649,3.0919041447359303,15.0,15,15,4,1.0
cell_10_05,2024-03-01,2024-04-01,52.4949680606261,2.907502618462458,15.0,15,15,4,1.0
cell_10_06,2024-03-01,2024-04-01,47.334486694896924,3.0961129631239013,15.0,15,15,4,1.0
cell_10_07,2024-03-01,2024-04-01,45.13752950889788,3.695136185094311,15.0,15,15,5,1.0
cell_10_08,2024-03-01,2024-04-01,51.406828624099056,1.2241938517656967,15.123134328358208,15,16,4,1.0
cell_10_09,2024-03-01,2024-04-01,53.036605963066435,3.415253006595641,15.108208955223878,15,16,4,1.0
cell_10_10,2024-03-01,2024-04-01,47.59581297244168,5.0580314584782515,15.0,15,15,4,1.0
cell_10_11,2024-03-01,2024-04-01,41.175860335495294,6.537767833438483,14.976821192052977,14,15,4,1.0
cell_10_12,2024-03-01,2024-04-01,31.811474930468222,2.0383057380694756,14.964028776978418,14,15,3,1.0
cell_10_13,2024-03-01,2024-04-01,28.444253224045482,0.3299999237060547,15.0,15,15,2,1.0
cell_10_14,2024-03-01,2024-04-01,32.24033498052341,4.444999694824219,15.0,15,15,2,1.0
cell_10_15,2024-03-01,2024-04-01,49.32394114214248,13.385002136230469,14.568773234200743,14,15,2,1.0
cell_10_16,2024-03-01,2024-04-01,68.08782723410089,3.8148607932190486,14.056140350877195,14,15,3,1.0
cell_10_17,2024-03-01,2024-04-01,63.94824569904252,9.178590732539911,14.052980132450331,14,15,4,1.0
cell_10_18,2024-03-01,2024-04-01,50.584822025704895,6.184504513641771,14.0,14,14,4,1.0
cell_10_19,2024-03-01,2024-04-01,40.193209050306635,3.1739993429778806,14.0,14,14,4,1.0
